,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
22057,7619,13,2.2949930827273812,False,True,True,[43],[0.8],28,18.3201,35,462.1467590332031,22.641813,33.06073771688625
22058,7619,16,1.0818833016949811,True,True,True,[37  7],[0.9722222  0.00357143],36,33.918095,35,600.7282104492188,41.919376,43.254387674040615
22059,7619,18,1.8738706177566793,True,False,False,[],[],16,19.215748,-1,-1.0,23.748743,-1.0
22060,7620,18,2.419121178935839,False,True,True,[38 16],[0.8108108  0.01652892],32,23.66605,35,520.838134765625,29.248873,40.60875074007924
22061,7621,14,1.873870617011172,True,True,True,[42],[0.89361703],46,40.514282,43,645.9244384765625,50.0716,39.562412768767246
22062,7621,34,1.3250090019014753,True,True,True,[30 24],[0.8833333  0.00241546],58,34.644115,55,636.3921508789062,42.816666,41.912705087699685
22063,7622,4,7.495435747407468,False,False,True,[51],[0.98],50,34.453167,49,587.8070678710938,42.58067,49.34771889055192
22064,7622,14,0.7650146484375,True,False,True,[56 13],[0.51111114 0.00917431],44,37.161873,24,368.32904052734375,45.92836,50.3264573530125
22065,7622,22,1.3250442396281927,True,True,True,[66  0],[0.8214286  0.00433839],27,21.959167,24,422.2564697265625,27.139336,34.90604782680433
22066,7622,24,0.7649993896484375,True,False,True,[32 29],[0.88095236 0.00440529],39,37.862545,40,432.9459228515625,46.794323,48.37002720999713
22067,7622,26,0.7650146484375,True,True,True,[59  9],[0.8378378  0.01694915],70,41.246925,66,525.1478881835938,50.977077,44.86556760843096
22068,7622,28,11.372550967270318,False,False,False,[],[],13,11.846606,-1,-1.0,14.641221,-1.0
22069,7622,31,1.081872512263171,True,True,True,[34],[0.8947368],71,43.945854,73,762.9285888671875,54.312683,46.276570247227056
22070,7623,6,0.7649993896484375,True,True,True,[47],[0.82608694],43,24.401096,41,494.8818054199219,30.157316,38.549141900960265
22071,7623,41,inf,False,True,True,[40],[0.2],37,36.668514,-1,-1.0,45.31862,-1.0
22072,7623,50,1.3250266205305374,True,True,True,[48],[0.95652175],22,24.800888,23,461.43389892578125,30.651419,35.08004678425658
